soc_id	var_id	code	category	title	definition	pref_name_for_society	glottocode	Lat	Long	description	name	region
B123	B001	65	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Jankundjara	yank1247	-27	131.95	NA	NA	Australia
B124	B001	55	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Northern Aranda	east2379	-23.7	133.76	NA	NA	Australia
B125	B001	45	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Yuwaalaraay	gami1243	-29.3	147.25	NA	NA	Australia
B126	B001	50	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Nakako	pitj1243	-27.31	128.19	NA	NA	Australia
B127	B001	55	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Ooldea	anta1253	-30.38	131.81	NA	NA	Australia
B128	B001	40	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Paakintji	darl1243	-32.4	142.25	NA	NA	Australia
B129	B001	45	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Kaurna	kaur1267	-34.56	138.4	NA	NA	Australia
B130	B001	40	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Ngiyambaa	wang1291	-32.14	146.09	NA	NA	Australia
B131	B001	45	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Yaraldi	narr1259	-35.06	139.29	NA	NA	Australia
B132	B001	40	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Mirniny	ngad1258	-34.95	117.81	NA	NA	Australia
B133	B001	35	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Tjapwurong	djab1234	-35.86	141.38	NA	NA	Australia
B134	B001	35	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Bunurong	woiw1237	-38.48	145.23	NA	NA	Australia
B135	B001	45	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Kurnai	gana1278	-37.59	147.42	NA	NA	Australia
B136	B001	25	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Tasmanians (southeastern)	sout1439	-42.62	147.49	NA	NA	Australia
B137	B001	15	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Tasmanians (northwestern)	port1278	-41.38	145.21	NA	NA	Australia
B82	B001	35	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Kaurareg	kala1377	-10.73	142.15	NA	NA	Australia
B83	B001	20	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Larikia	lara1258	-12.6	130.79	NA	NA	Australia
B84	B001	40	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Gunwinygu	gunw1252	-12.43	134.12	NA	NA	Australia
B85	B001	40	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Mirrngadja	djin1252	-12.31	135.2	NA	NA	Australia
B86	B001	35	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Burarra	gunn1247	-12.2	134.73	NA	NA	Australia
B87	B001	35	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Gidjingali	gunn1248	-12.18	134.4	NA	NA	Australia
B88	B001	55	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Yolngu, Dhuwal	dhuw1249	-12.93	135.84	NA	NA	Australia
B89	B001	60	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Yiiji	wuna1249	-15.55	128.19	NA	NA	Australia
B90	B001	50	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Wikmunkan	wikm1247	-13.47	142	NA	NA	Australia
B91	B001	55	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Kaakutju	gaga1251	-13.13	132.95	NA	NA	Australia
B92	B001	30	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Nunggubuyu	nung1290	-13.76	135.98	NA	NA	Australia
B93	B001	20	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Yintjingga	ayab1239	-14	143.5	NA	NA	Australia
B94	B001	65	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Yir Yoront	jirj1239	-15	142.17	NA	NA	Australia
B95	B001	40	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Tiwi	tiwi1244	-11.59	130.87	NA	NA	Australia
B96	B001	35	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Kuku (Yalanji)	kuku1273	-15.92	145.32	NA	NA	Australia
B97	B001	30	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Anindilyagwa	anin1240	-14	136.62	NA	NA	Australia
B98	B001	25	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Walmbaria	flin1247	-14.34	144.22	NA	NA	Australia
B99	B001	30	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Mulluk	mull1237	-13.58	130.58	NA	NA	Australia
B100	B002	30	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Worrorra	worr1237	-15.32	124.72	NA	NA	Australia
B101	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Kija	kitj1240	-16.91	127.83	NA	NA	Australia
B102	B002	5	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Lardil	lard1243	-16.48	139.32	NA	NA	Australia
B103	B002	7	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Kaiadilt	kaya1319	-16.94	139.03	NA	NA	Australia
B104	B002	40	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Karajarri	kara1476	-18.94	121.68	NA	NA	Australia
B105	B002	7	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Mamu	mamu1253	-17.64	145.84	NA	NA	Australia
B106	B002	10	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Kariyarra	kari1304	-20.88	118.27	NA	NA	Australia
B107	B002	42	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Warunggu	waru1264	-18.41	145.61	NA	NA	Australia
B108	B002	30	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Djaru	jaru1254	-19.16	130	NA	NA	Australia
B109	B002	30	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Walbiri	warl1254	-20	130.57	NA	NA	Australia
B110	B002	15	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Ngatjan	ngad1260	-17.36	145.56	NA	NA	Australia
B111	B002	30	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Mardudjara	mart1256	-22.79	125.06	NA	NA	Australia
B112	B002	20	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Ildawongga	wanm1242	-22.93	127.18	NA	NA	Australia
B113	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Pintubi	pint1250	-22.86	129.44	NA	NA	Australia
B114	B002	5	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Undanbi	waka1274	-27.27	153.02	NA	NA	Australia
B115	B002	30	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Jinibarra	yaga1256	-27.25	152.87	NA	NA	Australia
B116	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Karuwali	karr1236	-24.41	141.64	NA	NA	Australia
B117	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Alyawara	alya1239	-22.27	135.17	NA	NA	Australia
B118	B002	25	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Ngatatjara	ngaa1240	-25.32	127.27	NA	NA	Australia
B119	B002	25	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Badjalang	midd1357	-29.59	152.78	NA	NA	Australia
B120	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Pitjandjara	pitj1243	-26	130	NA	NA	Australia
B121	B002	25	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Diyari	dier1241	-28.54	139.09	NA	NA	Australia
B122	B002	30	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Southern Aranda	lowe1436	-26.09	135.52	NA	NA	Australia
B123	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Jankundjara	yank1247	-27	131.95	NA	NA	Australia
B124	B002	45	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Northern Aranda	east2379	-23.7	133.76	NA	NA	Australia
B125	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Yuwaalaraay	gami1243	-29.3	147.25	NA	NA	Australia
B126	B002	45	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Nakako	pitj1243	-27.31	128.19	NA	NA	Australia
B127	B002	45	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Ooldea	anta1253	-30.38	131.81	NA	NA	Australia
B128	B002	25	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Paakintji	darl1243	-32.4	142.25	NA	NA	Australia
B129	B002	20	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Kaurna	kaur1267	-34.56	138.4	NA	NA	Australia
B130	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Ngiyambaa	wang1291	-32.14	146.09	NA	NA	Australia
B131	B002	15	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Yaraldi	narr1259	-35.06	139.29	NA	NA	Australia
B132	B002	30	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Mirniny	ngad1258	-34.95	117.81	NA	NA	Australia
B133	B002	20	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Tjapwurong	djab1234	-35.86	141.38	NA	NA	Australia
B134	B002	25	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Bunurong	woiw1237	-38.48	145.23	NA	NA	Australia
B135	B002	30	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Kurnai	gana1278	-37.59	147.42	NA	NA	Australia
B136	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Tasmanians (southeastern)	sout1439	-42.62	147.49	NA	NA	Australia
B137	B002	25	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Tasmanians (northwestern)	port1278	-41.38	145.21	NA	NA	Australia
B82	B002	0	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Kaurareg	kala1377	-10.73	142.15	NA	NA	Australia
B83	B002	15	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Larikia	lara1258	-12.6	130.79	NA	NA	Australia
B84	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Gunwinygu	gunw1252	-12.43	134.12	NA	NA	Australia
B85	B002	10	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Mirrngadja	djin1252	-12.31	135.2	NA	NA	Australia
B86	B002	10	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Burarra	gunn1247	-12.2	134.73	NA	NA	Australia
B87	B002	10	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Gidjingali	gunn1248	-12.18	134.4	NA	NA	Australia
B88	B002	35	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Yolngu, Dhuwal	dhuw1249	-12.93	135.84	NA	NA	Australia
B89	B002	15	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Yiiji	wuna1249	-15.55	128.19	NA	NA	Australia
B90	B002	30	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Wikmunkan	wikm1247	-13.47	142	NA	NA	Australia
B91	B002	20	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Kaakutju	gaga1251	-13.13	132.95	NA	NA	Australia
B92	B002	10	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Nunggubuyu	nung1290	-13.76	135.98	NA	NA	Australia
B93	B002	5	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Yintjingga	ayab1239	-14	143.5	NA	NA	Australia
B94	B002	25	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Yir Yoront	jirj1239	-15	142.17	NA	NA	Australia
B95	B002	25	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Tiwi	tiwi1244	-11.59	130.87	NA	NA	Australia
B96	B002	10	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Kuku (Yalanji)	kuku1273	-15.92	145.32	NA	NA	Australia
B97	B002	10	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Anindilyagwa	anin1240	-14	136.62	NA	NA	Australia
B98	B002	5	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Walmbaria	flin1247	-14.34	144.22	NA	NA	Australia
B99	B002	10	Subsistence, Economy, Property	Subsistence economy: Hunting	Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities	Mulluk	mull1237	-13.58	130.58	NA	NA	Australia
B100	B003	10	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Worrorra	worr1237	-15.32	124.72	NA	NA	Australia
B101	B003	5	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Kija	kitj1240	-16.91	127.83	NA	NA	Australia
B102	B003	60	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Lardil	lard1243	-16.48	139.32	NA	NA	Australia
B103	B003	80	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Kaiadilt	kaya1319	-16.94	139.03	NA	NA	Australia
B104	B003	5	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Karajarri	kara1476	-18.94	121.68	NA	NA	Australia
B105	B003	25	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Mamu	mamu1253	-17.64	145.84	NA	NA	Australia
B106	B003	35	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Kariyarra	kari1304	-20.88	118.27	NA	NA	Australia
B107	B003	34	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Warunggu	waru1264	-18.41	145.61	NA	NA	Australia
B108	B003	5	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Djaru	jaru1254	-19.16	130	NA	NA	Australia
B109	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Walbiri	warl1254	-20	130.57	NA	NA	Australia
B110	B003	20	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Ngatjan	ngad1260	-17.36	145.56	NA	NA	Australia
B111	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Mardudjara	mart1256	-22.79	125.06	NA	NA	Australia
B112	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Ildawongga	wanm1242	-22.93	127.18	NA	NA	Australia
B113	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Pintubi	pint1250	-22.86	129.44	NA	NA	Australia
B114	B003	85	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Undanbi	waka1274	-27.27	153.02	NA	NA	Australia
B115	B003	15	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Jinibarra	yaga1256	-27.25	152.87	NA	NA	Australia
B116	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Karuwali	karr1236	-24.41	141.64	NA	NA	Australia
B117	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Alyawara	alya1239	-22.27	135.17	NA	NA	Australia
B118	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Ngatatjara	ngaa1240	-25.32	127.27	NA	NA	Australia
B119	B003	40	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Badjalang	midd1357	-29.59	152.78	NA	NA	Australia
B120	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Pitjandjara	pitj1243	-26	130	NA	NA	Australia
B121	B003	20	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Diyari	dier1241	-28.54	139.09	NA	NA	Australia
B122	B003	5	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Southern Aranda	lowe1436	-26.09	135.52	NA	NA	Australia
B123	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Jankundjara	yank1247	-27	131.95	NA	NA	Australia
B124	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Northern Aranda	east2379	-23.7	133.76	NA	NA	Australia
B125	B003	20	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Yuwaalaraay	gami1243	-29.3	147.25	NA	NA	Australia
B126	B003	5	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Nakako	pitj1243	-27.31	128.19	NA	NA	Australia
B127	B003	0	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Ooldea	anta1253	-30.38	131.81	NA	NA	Australia
B128	B003	35	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Paakintji	darl1243	-32.4	142.25	NA	NA	Australia
B129	B003	35	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Kaurna	kaur1267	-34.56	138.4	NA	NA	Australia
B130	B003	25	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Ngiyambaa	wang1291	-32.14	146.09	NA	NA	Australia
B131	B003	40	Subsistence, Economy, Property	Subsistence economy: Fishing	Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities	Yaraldi	narr1259	-35.06	139.29	NA	NA	Australia
